Category	Accession	Patient_ID	Gene	Value
Luminal B	GSM4201299	9992576144_R02C01	ABCA8	0.2870568
Luminal B	GSM4201299	9992576144_R02C01	CUX2	0.3733922575
Luminal B	GSM4201299	9992576144_R02C01	CYP1B1-AS1	0.6797364
Luminal B	GSM4201299	9992576144_R02C01	FGD2	0.6143103
Luminal B	GSM4201299	9992576144_R02C01	FGF13	0.5846279577739117
Luminal B	GSM4201299	9992576144_R02C01	HORMAD2	0.7352091
Luminal B	GSM4201299	9992576144_R02C01	LRRC25	0.7342605
Luminal B	GSM4201299	9992576144_R02C01	MARK2P9	0.26796685
Luminal B	GSM4201299	9992576144_R02C01	MCHR2	0.778384125
Luminal B	GSM4201299	9992576144_R02C01	MTMR11	0.3232931
Luminal B	GSM4201299	9992576144_R02C01	PAX9	0.598212425
Luminal B	GSM4201299	9992576144_R02C01	PTPN22	0.5997985666666666
Luminal B	GSM4201299	9992576144_R02C01	RAP1GAP2	0.6631232375
Luminal B	GSM4201299	9992576144_R02C01	SPAG6	0.6799446
Luminal B	GSM4201300	9992576144_R06C01	ABCA8	0.5857561
Luminal B	GSM4201300	9992576144_R06C01	CUX2	0.24191242
Luminal B	GSM4201300	9992576144_R06C01	CYP1B1-AS1	0.3904356
Luminal B	GSM4201300	9992576144_R06C01	FGD2	0.35255555
Luminal B	GSM4201300	9992576144_R06C01	FGF13	0.5225782646423236
Luminal B	GSM4201300	9992576144_R06C01	HORMAD2	0.5981111
Luminal B	GSM4201300	9992576144_R06C01	LRRC25	0.1698515
Luminal B	GSM4201300	9992576144_R06C01	MARK2P9	0.2981228
Luminal B	GSM4201300	9992576144_R06C01	MCHR2	0.406795625
Luminal B	GSM4201300	9992576144_R06C01	MTMR11	0.5281950142857142
Luminal B	GSM4201300	9992576144_R06C01	PAX9	0.4148396
Luminal B	GSM4201300	9992576144_R06C01	PTPN22	0.22867469999999998
Luminal B	GSM4201300	9992576144_R06C01	RAP1GAP2	0.28231181250000004
Luminal B	GSM4201300	9992576144_R06C01	SPAG6	0.38525529000000003
Luminal B	GSM4201301	9992576144_R04C02	ABCA8	0.3016227
Luminal B	GSM4201301	9992576144_R04C02	CUX2	0.505756045
Luminal B	GSM4201301	9992576144_R04C02	CYP1B1-AS1	0.71858725
Luminal B	GSM4201301	9992576144_R04C02	FGD2	0.5909419499999999
Luminal B	GSM4201301	9992576144_R04C02	FGF13	0.41976065492955
Luminal B	GSM4201301	9992576144_R04C02	HORMAD2	0.7658377333333334
Luminal B	GSM4201301	9992576144_R04C02	LRRC25	0.59751025
Luminal B	GSM4201301	9992576144_R04C02	MARK2P9	0.37643535
Luminal B	GSM4201301	9992576144_R04C02	MCHR2	0.448305725
Luminal B	GSM4201301	9992576144_R04C02	MTMR11	0.327368
Luminal B	GSM4201301	9992576144_R04C02	PAX9	0.52664995
Luminal B	GSM4201301	9992576144_R04C02	PTPN22	0.5624954
Luminal B	GSM4201301	9992576144_R04C02	RAP1GAP2	0.6224436125
Luminal B	GSM4201301	9992576144_R04C02	SPAG6	0.29043119700000003
Luminal B	GSM4201302	9992576148_R02C01	ABCA8	0.260498
Luminal B	GSM4201302	9992576148_R02C01	CUX2	0.33584005
Luminal B	GSM4201302	9992576148_R02C01	CYP1B1-AS1	0.70242965
Luminal B	GSM4201302	9992576148_R02C01	FGD2	0.6342305500000001
Luminal B	GSM4201302	9992576148_R02C01	FGF13	0.44132679283661275
Luminal B	GSM4201302	9992576148_R02C01	HORMAD2	0.7539977666666666
Luminal B	GSM4201302	9992576148_R02C01	LRRC25	0.7433240000000001
Luminal B	GSM4201302	9992576148_R02C01	MARK2P9	0.6880245
Luminal B	GSM4201302	9992576148_R02C01	MCHR2	0.456082675
Luminal B	GSM4201302	9992576148_R02C01	MTMR11	0.3531466142857143
Luminal B	GSM4201302	9992576148_R02C01	PAX9	0.72756365
Luminal B	GSM4201302	9992576148_R02C01	PTPN22	0.3371866333333333
Luminal B	GSM4201302	9992576148_R02C01	RAP1GAP2	0.7587143875
Luminal B	GSM4201302	9992576148_R02C01	SPAG6	0.68078224
Luminal B	GSM4201303	9992576148_R06C01	ABCA8	0.2434519
Luminal B	GSM4201303	9992576148_R06C01	CUX2	0.42460465000000003
Luminal B	GSM4201303	9992576148_R06C01	CYP1B1-AS1	0.7979106
Luminal B	GSM4201303	9992576148_R06C01	FGD2	0.73826865
Luminal B	GSM4201303	9992576148_R06C01	FGF13	0.5704694312783611
Luminal B	GSM4201303	9992576148_R06C01	HORMAD2	0.7813348111111111
Luminal B	GSM4201303	9992576148_R06C01	LRRC25	0.8013560500000001
Luminal B	GSM4201303	9992576148_R06C01	MARK2P9	0.6766100500000001
Luminal B	GSM4201303	9992576148_R06C01	MCHR2	0.8223636750000001
Luminal B	GSM4201303	9992576148_R06C01	MTMR11	0.30797752857142857
Luminal B	GSM4201303	9992576148_R06C01	PAX9	0.67605695
Luminal B	GSM4201303	9992576148_R06C01	PTPN22	0.8556859666666666
Luminal B	GSM4201303	9992576148_R06C01	RAP1GAP2	0.8161987375
Luminal B	GSM4201303	9992576148_R06C01	SPAG6	0.62293133
Luminal B	GSM4201304	9992576148_R04C02	ABCA8	0.2281753
Luminal B	GSM4201304	9992576148_R04C02	CUX2	0.53968995
Luminal B	GSM4201304	9992576148_R04C02	CYP1B1-AS1	0.6991383
Luminal B	GSM4201304	9992576148_R04C02	FGD2	0.62613675
Luminal B	GSM4201304	9992576148_R04C02	FGF13	0.527807240775364
Luminal B	GSM4201304	9992576148_R04C02	HORMAD2	0.7529970555555555
Luminal B	GSM4201304	9992576148_R04C02	LRRC25	0.6855387
Luminal B	GSM4201304	9992576148_R04C02	MARK2P9	0.5218206999999999
Luminal B	GSM4201304	9992576148_R04C02	MCHR2	0.680125175
Luminal B	GSM4201304	9992576148_R04C02	MTMR11	0.3215805285714286
Luminal B	GSM4201304	9992576148_R04C02	PAX9	0.481752375
Luminal B	GSM4201304	9992576148_R04C02	PTPN22	0.6516062666666667
Luminal B	GSM4201304	9992576148_R04C02	RAP1GAP2	0.684576425
Luminal B	GSM4201304	9992576148_R04C02	SPAG6	0.61164084
Luminal B	GSM4201305	9992576158_R02C01	ABCA8	0.4052807
Luminal B	GSM4201305	9992576158_R02C01	CUX2	0.344167325
Luminal B	GSM4201305	9992576158_R02C01	CYP1B1-AS1	0.7180699
Luminal B	GSM4201305	9992576158_R02C01	FGD2	0.6394073
Luminal B	GSM4201305	9992576158_R02C01	FGF13	0.4788512347036899
Luminal B	GSM4201305	9992576158_R02C01	HORMAD2	0.7071063555555556
Luminal B	GSM4201305	9992576158_R02C01	LRRC25	0.65297815
Luminal B	GSM4201305	9992576158_R02C01	MARK2P9	0.41430165
Luminal B	GSM4201305	9992576158_R02C01	MCHR2	0.714767375
Luminal B	GSM4201305	9992576158_R02C01	MTMR11	0.2508675
Luminal B	GSM4201305	9992576158_R02C01	PAX9	0.620088075
Luminal B	GSM4201305	9992576158_R02C01	PTPN22	0.6910491333333333
Luminal B	GSM4201305	9992576158_R02C01	RAP1GAP2	0.2433296
Luminal B	GSM4201305	9992576158_R02C01	SPAG6	0.6347741
Luminal-HER2	GSM4201306	9992576158_R06C01	ABCA8	0.3920406
