Patient_ID	Gene	Value	Category
GSM1858444_5723646043_R04C01	RAP1GAP2	0.7519933269149166	General
GSM1858444_5723646043_R04C01	SPAG6	0.4180135759487258	General
GSM1858445_5723654035_R05C01	ABCA8	0.646099483555314	General
GSM1858445_5723654035_R05C01	CUX2	0.2280767311908935	General
GSM1858445_5723654035_R05C01	CYP1B1-AS1	0.621880098037624	General
GSM1858445_5723654035_R05C01	FGD2	0.4789722749701265	General
GSM1858445_5723654035_R05C01	FGF13	0.4149168690228268	General
GSM1858445_5723654035_R05C01	HORMAD2	0.6286141765565092	General
GSM1858445_5723654035_R05C01	LRRC25	0.252862413417147	General
GSM1858445_5723654035_R05C01	MARK2P9	0.46011637246560955	General
GSM1858445_5723654035_R05C01	MCHR2	0.5099390551803632	General
GSM1858445_5723654035_R05C01	MTMR11	0.5142393489878293	General
GSM1858445_5723654035_R05C01	PAX9	0.33459475444639053	General
GSM1858445_5723654035_R05C01	PTPN22	0.477907516511704	General
GSM1858445_5723654035_R05C01	RAP1GAP2	0.25240106938476115	General
GSM1858445_5723654035_R05C01	SPAG6	0.4999729242562619	General
GSM1858446_5723654034_R04C02	ABCA8	0.434314060896339	General
GSM1858446_5723654034_R04C02	CUX2	0.278501577771392	General
GSM1858446_5723654034_R04C02	CYP1B1-AS1	0.6541852870657221	General
GSM1858446_5723654034_R04C02	FGD2	0.5036288455183925	General
GSM1858446_5723654034_R04C02	FGF13	0.49256847481735366	General
GSM1858446_5723654034_R04C02	HORMAD2	0.6030166016111453	General
GSM1858446_5723654034_R04C02	LRRC25	0.511230866362505	General
GSM1858446_5723654034_R04C02	MARK2P9	0.4372323125398445	General
GSM1858446_5723654034_R04C02	MCHR2	0.37468255487533075	General
